configuration,seed,true_id,pred_id,true_class,pred_class,count
Sensor-only LSTM,51,0,1,Good,Burr,281
Sensor-only LSTM,51,0,2,Good,Flash-burr,46
Sensor-only LSTM,51,0,3,Good,Surface-groove/void,136
Sensor-only LSTM,51,1,0,Burr,Good,242
Sensor-only LSTM,51,1,1,Burr,Burr,111
Sensor-only LSTM,51,1,2,Burr,Flash-burr,491
Sensor-only LSTM,51,1,3,Burr,Surface-groove/void,104
Sensor-only LSTM,51,2,0,Flash-burr,Good,1
Sensor-only LSTM,51,2,1,Flash-burr,Burr,12
Sensor-only LSTM,51,2,2,Flash-burr,Flash-burr,424
Sensor-only LSTM,51,2,3,Flash-burr,Surface-groove/void,21
Sensor-only LSTM,51,3,0,Surface-groove/void,Good,12
Sensor-only LSTM,51,3,1,Surface-groove/void,Burr,0
Sensor-only LSTM,51,3,2,Surface-groove/void,Flash-burr,0
Sensor-only LSTM,51,3,3,Surface-groove/void,Surface-groove/void,637
Vision-only LSTM,42,0,0,Good,Good,318
Vision-only LSTM,42,0,1,Good,Burr,167
Vision-only LSTM,42,0,2,Good,Flash-burr,0
Vision-only LSTM,42,0,3,Good,Surface-groove/void,41
Vision-only LSTM,42,1,0,Burr,Good,277
Vision-only LSTM,42,1,1,Burr,Burr,564
Vision-only LSTM,42,1,2,Burr,Flash-burr,45
Vision-only LSTM,42,1,3,Burr,Surface-groove/void,62
Vision-only LSTM,42,2,0,Flash-burr,Good,0
Vision-only LSTM,42,2,1,Flash-burr,Burr,38
Vision-only LSTM,42,2,2,Flash-burr,Flash-burr,399
Vision-only LSTM,42,2,3,Flash-burr,Surface-groove/void,21
Vision-only LSTM,42,3,0,Surface-groove/void,Good,2
Vision-only LSTM,42,3,1,Surface-groove/void,Burr,0
Vision-only LSTM,42,3,2,Surface-groove/void,Flash-burr,0
Vision-only LSTM,42,3,3,Surface-groove/void,Surface-groove/void,647
Vision-only LSTM,43,0,0,Good,Good,329
Vision-only LSTM,43,0,1,Good,Burr,182
Vision-only LSTM,43,0,2,Good,Flash-burr,0
Vision-only LSTM,43,0,3,Good,Surface-groove/void,15
Vision-only LSTM,43,1,0,Burr,Good,422
Vision-only LSTM,43,1,1,Burr,Burr,430
Vision-only LSTM,43,1,2,Burr,Flash-burr,62
Vision-only LSTM,43,1,3,Burr,Surface-groove/void,34
Vision-only LSTM,43,2,0,Flash-burr,Good,1
Vision-only LSTM,43,2,1,Flash-burr,Burr,23
Vision-only LSTM,43,2,2,Flash-burr,Flash-burr,413
Vision-only LSTM,43,2,3,Flash-burr,Surface-groove/void,21
Vision-only LSTM,43,3,0,Surface-groove/void,Good,12
Vision-only LSTM,43,3,1,Surface-groove/void,Burr,0
Vision-only LSTM,43,3,2,Surface-groove/void,Flash-burr,0
Vision-only LSTM,43,3,3,Surface-groove/void,Surface-groove/void,637
Vision-only LSTM,44,0,0,Good,Good,501
Vision-only LSTM,44,0,1,Good,Burr,17
Vision-only LSTM,44,0,2,Good,Flash-burr,0
Vision-only LSTM,44,0,3,Good,Surface-groove/void,8
Vision-only LSTM,44,1,0,Burr,Good,311
Vision-only LSTM,44,1,1,Burr,Burr,603
Vision-only LSTM,44,1,2,Burr,Flash-burr,28
Vision-only LSTM,44,1,3,Burr,Surface-groove/void,6
Vision-only LSTM,44,2,0,Flash-burr,Good,0
Vision-only LSTM,44,2,1,Flash-burr,Burr,54
Vision-only LSTM,44,2,2,Flash-burr,Flash-burr,383
Vision-only LSTM,44,2,3,Flash-burr,Surface-groove/void,21
Vision-only LSTM,44,3,0,Surface-groove/void,Good,0
Vision-only LSTM,44,3,1,Surface-groove/void,Burr,0
Vision-only LSTM,44,3,2,Surface-groove/void,Flash-burr,0
Vision-only LSTM,44,3,3,Surface-groove/void,Surface-groove/void,649
Vision-only LSTM,45,0,0,Good,Good,243
Vision-only LSTM,45,0,1,Good,Burr,195
Vision-only LSTM,45,0,2,Good,Flash-burr,0
