configuration,number_of_features,fold,seed,best_epoch,best_validation_loss,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
Fusion-LSTM with derivatives,20,4,48,2,0.519829611108488,0.834061135371179,0.6931585531920603,0.6395432182277403,0.6568141542461515,0.8706964668097684
Fusion-LSTM with derivatives,20,4,49,4,0.5102746915267449,0.9228529839883551,0.7084154524384512,0.7012715480457415,0.7025203704320069,0.9329013282582425
Fusion-LSTM with derivatives,20,4,50,3,0.5728158525325967,0.9315866084425036,0.707698265504282,0.7070745861068441,0.7051381246015949,0.9373951435894367
Fusion-LSTM with derivatives,20,4,51,3,0.5034437943679482,0.8806404657933042,0.6945151984238671,0.6710189452124936,0.6802916648877443,0.900712344015951
Fusion-LSTM with derivatives,20,5,42,5,0.541572766983784,0.7382978723404255,0.4156719717064545,0.4793233082706767,0.44379510761959506,0.6942448418829725
Fusion-LSTM with derivatives,20,5,43,1,0.5818866833700824,0.7212765957446808,0.3927910324969148,0.4642857142857143,0.42322303921568627,0.67095901126408
Fusion-LSTM with derivatives,20,5,44,1,0.6496045804373624,0.7191489361702128,0.41369749882019824,0.462406015037594,0.43597641759406464,0.6853947501944998
Fusion-LSTM with derivatives,20,5,45,4,0.6201193278940469,0.474468085106383,0.24030172413793102,0.2477777777777778,0.2439824945295405,0.4672005214395456
Fusion-LSTM with derivatives,20,5,46,5,0.556239854739647,0.5106382978723404,0.396424672489083,0.2820384294068504,0.302896809504739,0.53256191117284
Fusion-LSTM with derivatives,20,5,47,1,0.5940698027860694,0.7127659574468085,0.4166666666666667,0.45676691729323304,0.4354094579008074,0.6847530000736214
Fusion-LSTM with derivatives,20,5,48,2,0.5499285836889559,0.7212765957446808,0.40705128205128205,0.4642857142857143,0.4325980392156863,0.6815707133917396
Fusion-LSTM with derivatives,20,5,49,3,0.5428719851705763,0.7574468085106383,0.3840249662618084,0.49624060150375937,0.4265384824289826,0.6747118108161517
Fusion-LSTM with derivatives,20,5,50,5,0.5869849094304899,0.7617021276595745,0.38127444589309,0.5,0.42531484138370795,0.6733267532925642
Fusion-LSTM with derivatives,20,5,51,2,0.5588952891481748,0.5723404255319149,0.38903326403326405,0.33270676691729323,0.35137823245240124,0.5896368044596808
