configuration,number_of_features,fold,seed,best_epoch,best_validation_loss,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
Fusion-LSTM without derivatives,10,4,45,2,0.5377256266725888,0.8209606986899564,0.6941006970584707,0.6333524366966214,0.6568147791142029,0.8621647664631885
Fusion-LSTM without derivatives,10,4,46,5,0.49828265235608976,0.8820960698689956,0.712298327565319,0.6610278470666159,0.6851869902475776,0.9103832133215819
Fusion-LSTM without derivatives,10,4,47,2,0.5273508671944497,0.9068413391557496,0.7045363847991051,0.686721283495477,0.6948208634496628,0.9219696352167224
Fusion-LSTM without derivatives,10,4,48,9,0.5109927488073113,0.8602620087336245,0.6962434351293523,0.6579288352742038,0.6695754390533543,0.8887634647697052
Fusion-LSTM without derivatives,10,4,49,11,0.5614491266274603,0.9228529839883551,0.7112474418166228,0.7029783239460659,0.7036600531702272,0.9339475715868568
Fusion-LSTM without derivatives,10,4,50,6,0.5495469619518056,0.9112081513828238,0.7025980044832079,0.6945297832394607,0.6948239348114419,0.922099763998883
Fusion-LSTM without derivatives,10,4,51,2,0.5299084855075652,0.901018922852984,0.6948712847151272,0.6895374637310121,0.6855400652546807,0.9096137291393
Fusion-LSTM without derivatives,10,5,42,1,0.5162994811619852,0.7212765957446808,0.40902366863905326,0.4642857142857143,0.4338397610699909,0.6829762368523568
Fusion-LSTM without derivatives,10,5,43,3,0.5855166152338311,0.7595744680851064,0.39792628602811053,0.4988888888888889,0.4378554382045293,0.6870858712773519
Fusion-LSTM without derivatives,10,5,44,2,0.659117240825789,0.5531914893617021,0.36024762908324554,0.3157894736842105,0.33004949552636587,0.5654944894710622
Fusion-LSTM without derivatives,10,5,45,4,0.5987195456302891,0.6638297872340425,0.4089892665474061,0.4135338345864662,0.4111285735668313,0.6572691054658016
Fusion-LSTM without derivatives,10,5,46,4,0.6030250041739745,0.5063829787234042,0.3703846153846154,0.2744360902255639,0.2862372797220154,0.5159027898797547
Fusion-LSTM without derivatives,10,5,47,1,0.5249736359034445,0.6,0.3888221153846154,0.35714285714285715,0.36955218768730197,0.6102081750659941
Fusion-LSTM without derivatives,10,5,48,3,0.6102857204853114,0.7212765957446808,0.4110432980193459,0.4642857142857143,0.43509803921568624,0.6844005006257822
Fusion-LSTM without derivatives,10,5,49,3,0.5660122854154814,0.7212765957446808,0.39960249247958746,0.4642857142857143,0.42779034690799395,0.6761288148647346
Fusion-LSTM without derivatives,10,5,50,3,0.6296692495575991,0.7319148936170212,0.3994755244755245,0.4736842105263158,0.43103553921568627,0.679802096370463
Fusion-LSTM without derivatives,10,5,51,2,0.6071867030621575,0.7340425531914894,0.3773709167544784,0.4755639097744361,0.4155525846702317,0.6622767095232677
Fusion-LSTM with derivatives,20,1,42,6,0.4476694228826579,0.8598326359832636,0.6179421689005531,0.6172993035891942,0.6155572871508321,0.8421613327800238
Fusion-LSTM with derivatives,20,1,43,1,0.5493992094723683,0.8556485355648535,0.6871529556397911,0.5739458177087319,0.5813566976398757,0.8282805994936278
Fusion-LSTM with derivatives,20,1,44,3,0.44547267404992125,0.8556485355648535,0.6349381162156493,0.5942259126042703,0.6028093338651775,0.8397105577187224
Fusion-LSTM with derivatives,20,1,45,2,0.6244940651537737,0.8640167364016736,0.6397529310304642,0.6119805617203643,0.6196939220588855,0.8513941027713823
